"iso3","country","region","income","life_exp","infant_mort","fertility","pop65","urban_pct","gdp_pc","health_exp_pct","internet_pct","prim_enr","sec_enr","ter_enr","prim_compl","educ_exp","mobile","broadband","fixedline","agri_va","ind_va","manuf_va","serv_va","exports","imports","trade","capform","cons_hh","cons_gov","tax_rev","inflation","gni_pc","gdp_growth","pop0014","pop1564","dep_ratio","dep_old","dep_young","pop_tot","pop_grow","death_rate","birth_rate","net_migr","rural_pct","urb_grow","lgst_city","land_area","pop_dens","agri_land","arable","forest","air_pax","air_dep","credit_priv","fdi"
"BWA","Botswana","Sub-Saharan Africa ","Upper middle income",68.749,34.3,2.785,3.88,66.589,8328.709,5.737,57.9,109.273,NA,20.71,101.532,NA,178.205,4.532,3.759,1.58,37.457,5.385,56.428,43.479,42.591,86.07,26.792,40.58,27.982,19.65,11.666,7690,5.486,32.423,63.697,56.994,6.092,50.903,2439892,1.588,5.826,25.253,-7306,33.411,1.695,NA,566730,4.305,45.634,0.459,26.5,124414.5,3222.75,29.889,3.492
"BRA","Brazil","Latin America & Caribbean ","Upper middle income",74.872,12.6,1.629,10.252,87.35,9281.333,9.387,80.528,104.667,105.702,61,NA,5.619,101.245,20.953,12.963,5.767,22.819,13.074,58.087,19.631,19.185,38.816,18.088,63.064,18.402,14.726,9.28,8440,3.017,20.202,69.546,43.79,14.741,29.049,210306415,0.36,7.539,12.555,-253639,12.65,0.605,12.21,8358140,25.162,28.327,6.657,59.128,84337817,723961,70.606,3.868
"BRN","Brunei Darussalam","East Asia & Pacific","High income",72.917,8.7,1.764,6.202,74.777,36632.928,1.77,98.97,99.135,NA,31.193,NA,NA,116.108,19.805,26.836,1.096,67.926,11.626,32.52,86.389,60.585,146.974,25.851,23.255,20.124,NA,3.682,30970,-1.628,21.182,72.616,37.71,8.54,29.17,455370,0.805,6.559,13.847,0,25.223,0.819,NA,5270,86.408,2.543,0.759,72.106,351774,3542,31.556,-1.739
"BGR","Bulgaria","Europe & Central Asia","High income",74.161,5,1.78,21.697,73.48,13999.911,7.638,79.127,95.889,96.672,84.129,95.714,4.501,116.679,34.967,10.13,3.711,25.304,NA,59.894,69.979,68.865,138.845,22.688,57.919,18.28,21.726,15.325,13100,4.084,14.539,63.763,56.83,34.028,22.802,6465097,-0.651,18.4,8.8,26498,26.52,-0.469,27.087,108560,59.553,46.26,31.945,36.1,643765,6010,44.729,5.246
"BFA","Burkina Faso","Sub-Saharan Africa ","Low income",60.7,46.1,4.275,2.595,27.279,827.331,7.414,25.399,82.257,33.621,9.671,58.291,5.295,113.996,0.214,0.323,20.63,26.044,10.223,46.62,31.218,36.302,67.52,18.059,66.042,20.984,17.861,14.29,840,1.627,42.968,54.437,83.698,4.766,78.932,22509038,2.309,8.135,32.043,-24960,72.721,4.038,49.766,273600,82.27,53.35,28.901,22.355,94070,2006,31.649,3.596
"BDI","Burundi","Sub-Saharan Africa ","Low income",62.882,32.4,4.98,2.486,22.32,301.832,8.669,7.145,NA,NA,NA,NA,NA,56.26,0.03,0.112,35.331,16.075,11.236,43.674,NA,NA,NA,NA,61.457,25.721,NA,18.801,280,2.318,45.989,51.525,94.08,4.825,89.255,13321097,2.706,6.997,34.306,1995,77.68,8.276,38.317,25680,518.734,82.808,50.37,10.889,NA,NA,35.07,0.628
"CPV","Cabo Verde","Sub-Saharan Africa ","Upper middle income",75.907,11.5,1.533,6.329,75.034,4323.314,6.702,73.327,102.973,96.432,NA,99.099,4.725,113.247,6.568,10.971,4.954,11.079,4.753,69.005,38.684,58.31,96.994,21.879,75.381,22.365,NA,7.931,4550,15.844,27.175,66.497,50.383,9.517,40.866,519741,0.597,5.004,12.438,-1253,24.966,1.767,NA,4030,128.968,19.603,12.407,11.494,185363.15,3484,57.918,5.43
"KHM","Cambodia","East Asia & Pacific","Lower middle income",70.528,17.7,2.616,5.767,40.375,2325.031,4.469,65.491,106.332,55.135,14.607,87.257,1.958,113.392,2.964,0.223,16.544,40.865,27.122,36.385,72.207,73.667,145.874,34.595,60.018,5.9,13.519,5.344,2270,5.13,30.454,63.779,56.792,9.042,47.75,17201724,1.331,6.323,21.279,-31350,59.625,1.99,31.842,176520,97.449,34.812,23.341,43.944,388564.002,5304,132.817,8.948
"CMR","Cameroon","Sub-Saharan Africa ","Lower middle income",62.443,42.7,4.397,2.763,54.846,1604.877,4.494,40.126,112.495,45.607,16.437,70.437,2.66,89.827,2.129,3.243,16.546,27.13,13.364,49.405,19.322,21.965,41.287,19.107,73.029,10.508,NA,6.248,1660,3.737,42.058,55.179,81.23,5.008,76.222,27632771,2.629,7.673,34.268,-4798,45.154,3.161,28.615,472710,58.456,20.892,13.116,42.793,252403,5809,NA,2.087
"CAN","Canada","North America","High income",81.095,4.6,1.34,18.941,82.35,56496.928,11.081,94,94.734,107.468,78.849,NA,4.844,91.239,42.179,29.425,1.933,27.351,9.324,64.111,33.721,33.232,66.953,25.027,54.19,20.295,13.697,6.803,54070,4.695,15.548,65.511,52.645,28.912,23.733,38950132,1.84,8.7,9.1,459988,17.65,2.05,19.682,8788700,4.432,6.494,4.363,39.466,66876000,945478,NA,2.307
"CAF","Central African Republic","Sub-Saharan Africa ","Low income",18.818,206.8,6.023,2.144,43.275,467.36,9.95,13.754,NA,NA,NA,NA,2.115,38.822,0.016,0.041,36.217,21.157,18.342,42.428,12.3,32.933,45.234,24.327,97.365,8.335,NA,5.583,520,0.454,49.215,48.641,105.588,4.407,101.18,5098039,-0.275,55.126,45.425,-17430,56.725,0.701,42.298,622980,8.183,9.042,2.889,35.704,NA,NA,13.039,1.009
"TCD","Chad","Sub-Saharan Africa ","Low income",54.528,59.6,6.215,2.056,25.764,966.036,4.158,11.17,87.035,NA,NA,NA,2.602,65.438,0,0.01,35.228,33.064,7.454,28.348,31.735,16.253,47.988,17.972,57.741,8.805,NA,5.788,920,4.13,47.404,50.541,97.86,4.067,93.793,18455316,3.457,11.486,43.35,36670,74.236,5.545,32.233,1259200,14.656,39.976,4.209,3.249,NA,NA,NA,3.444
"CHL","Chile","Latin America & Caribbean ","High income",79.176,5.9,1.255,13.3,88.64,15399.104,10.005,92.318,100.192,106.068,99.337,100.269,4.912,135.114,22.79,11.337,3.236,31.004,9.502,55.396,35.622,39.612,75.233,25.767,63.492,14.731,21.345,11.644,15430,2.064,17.758,68.942,45.049,19.292,25.757,19553036,0.496,7.573,9.672,59374,11.36,0.692,39.563,742831.64,26.322,14.32,1.746,24.846,23742201,160105,112.67,6.234
"CHN","China","East Asia & Pacific","Upper middle income",78.202,4.8,1.034,13.782,65.218,12970.606,5.881,75.611,100.098,NA,71.58,NA,NA,124.195,41.374,12.589,7.148,37.895,25.981,54.958,20.228,17.285,37.513,42.355,37.777,16.663,7.518,1.974,13170,3.134,17.122,69.096,44.726,19.946,24.78,1412175000,-0.013,7.37,6.77,-293846,34.782,0.751,3.096,9388210,150.42,55.433,11.564,23.832,250754113,2513027,181.785,1.038
"COL","Colombia","Latin America & Caribbean ","Upper middle income",76.508,11.2,1.663,9.007,78.046,6680.445,7.59,72.796,104.83,101.574,59.29,97.117,NA,156.195,17.007,14.592,8.832,26.123,11.148,54.909,20.388,27.894,48.283,19.787,73.714,14.005,15.263,10.177,6560,7.328,20.953,70.04,42.775,12.859,29.916,51737944,1.068,5.881,13.731,183180,21.954,1.341,28.094,1109500,46.632,37.641,2.211,52.946,39535306,481253,44.188,4.971
"COM","Comoros","Sub-Saharan Africa ","Lower middle income",66.481,37,3.935,4.455,32.775,1533.878,8.471,31.374,98.072,54.806,NA,67.226,2.432,100.549,0.219,0.883,35.164,9.639,7.501,51.759,12.947,37.442,50.389,13.335,101.551,9.609,NA,12.532,1630,2.454,37.719,57.826,72.932,7.705,65.228,834188,1.938,7.3,29.062,-2002,67.225,3.05,NA,1861,448.247,71.467,34.927,17.217,NA,NA,16.301,0.323
"COD","Congo, Dem. Rep.","Sub-Saharan Africa ","Low income",60.979,57.6,6.106,3.066,44.003,687.739,3.942,17.996,NA,NA,NA,NA,2.845,48.677,0.032,0,10.337,41.957,9.489,43.759,40.82,45.002,85.822,36.686,50.262,17.234,10.662,NA,610,9.311,46.112,50.822,96.766,6.033,90.733,102396968,3.223,8.93,41.623,-14991,55.997,4.077,34.684,2267050,45.167,15.304,6.397,54.675,956682.876,8186,8.54,2.001
"COG","Congo, Rep.","Sub-Saharan Africa ","Lower middle income",65,28.5,4.215,2.85,63.642,2620.838,2.3,40.987,NA,NA,NA,NA,2.727,93.626,0.436,0.292,8.042,49.246,NA,37.315,63.812,34.349,98.161,20.979,37.721,11.837,NA,3.043,2170,1.475,41.256,55.894,78.911,5.099,73.812,6035104,2.397,6.571,30.941,-995,36.358,2.435,66.464,341500,17.672,31.19,1.611,64.176,55954.93,715,12.766,3.365
"CRI","Costa Rica","Latin America & Caribbean ","High income",79.316,8.6,1.335,11.262,78.441,13971.765,7.184,82.598,106.197,131.908,NA,93.171,5.547,136.518,21.758,9.667,4.03,20.663,14.134,67.53,40.589,38.464,79.052,18.38,64.734,14.761,13.999,8.275,13490,5.461,19.84,68.898,45.141,16.346,28.796,5081765,0.429,6.106,10.319,1006,21.559,1.01,36.158,51060,99.525,33.144,3.273,60.079,1551970.4,34907,51.359,7.34
"CIV","Cote d'Ivoire","Sub-Saharan Africa ","Lower middle income",61.562,47.4,4.349,2.533,52.849,2333.371,3.638,38.413,86.455,54.071,11.113,64.668,3.475,161.232,1.252,0.866,16.584,23.045,12.811,52.966,24.267,28.599,52.866,27.485,67.377,9.469,11.818,5.234,2440,6.4,41.663,55.805,79.197,4.539,74.658,30395002,2.516,7.816,32.5,26777,47.151,3.526,34.337,318000,95.582,84.157,14.179,8.21,617913,11763,20.854,2.255
"HRV","Croatia","Europe & Central Asia","High income",77.576,3.9,1.53,22.485,56.998,18465.531,7.296,82.072,100.528,105.578,80.763,100.282,NA,114.677,27.661,31.595,3.393,20.066,12.276,59.815,59.512,65.899,125.411,26.183,59.04,21.163,21.676,10.781,19370,7.295,14.301,63.214,58.192,35.569,22.623,3855641,-0.604,14.8,8.8,11681,43.002,-0.2,31.136,55960,68.9,25.876,15.243,34.741,1404393,22674,50.544,5.516
